wmi	make	country	region	source	all_makes
1AJ	AJAX MANUFACTURING (TRUCK TRAILER)			WIKI	
1AM	JEEP	UNITED STATES	NORTH AMERICA	VINGO	
1AT	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1B2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B4	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B5	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B8	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1B9	BUELL	UNITED STATES	NORTH AMERICA	VINGO	
1BA	BLUE BIRD CORPORATION BUS			WIKI	
1BB	BLUE BIRD WANDERLODGE MPV			WIKI	
1BD	BLUE BIRD CORPORATION INCOMPLETE VEHICLE			WIKI	
1BL	BALKO, INC.			WIKI	
1BN	BEALL TRAILERS (TRUCK TRAILER)			WIKI	
1C2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1C3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1C4	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
1C5	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1C6	RAM	UNITED STATES	NORTH AMERICA	VININFO	
1C7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1C8	CHRYSLER	UNITED STATES	NORTH AMERICA	VININFO	
1C9	CITROEN			VINGO	
1CA	DODGE	UNITED STATES	NORTH AMERICA	VINGO	
1CM	CHECKER	GERMANY	EUROPE	KBA	
1CN	LINCOLN			VININFO	
1CU	CUSHMAN HAULSTER (CUSHMAN DIVISION OF OUTBOARD MARINE CORPORATION)			WIKI	
1CY	CRANE CARRIER	GERMANY	EUROPE	KBA	
1D2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D4	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D5	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D8	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1D9	KME FIRE APPARATUS			WIKI	
1DT	DORSEY	GERMANY	EUROPE	KBA	
1DW	STOUGHTON TRAILERS (TRUCK TRAILER)			WIKI	
1E2	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1E3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1E4	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1E5	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1E6	CHRYSLER	GERMANY	EUROPE	KBA	
1E7	CHRYSLER	GERMANY	EUROPE	KBA	
1E8	CHRYSLER	GERMANY	EUROPE	KBA	
1E9	EIDAL	GERMANY	EUROPE	KBA	
1EC	FLEETWOOD			NHTSA_REPO	
1EU	EAGLE COACH CORPORATION			WIKI	
1F0	FORD	UNITED STATES		VINGO	
1F1	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1F2	SUBARU	UNITED STATES		VININFO	
1F3	FORD	UNITED STATES		VINGO	
1F4	FORD	UNITED STATES		VINGO	
1F5	FORD	UNITED STATES		VINGO	
1F6	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1F7	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1F8	FORD	UNITED STATES		VINGO	
1F9	FWD CORP.			VININFO	
1FA	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FB	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FC	FORD	UNITED STATES	NORTH AMERICA	VINGO	
